排名	外文名称	中文名称	国家或地区
126	University of Cape Town 	开普敦大学	南非
126	Dartmouth College 	达特茅斯大学	美国
128	University of Florida 	佛罗里达大学	美国
129	RWTH Aachen University 	亚琛工业大学	德国
129	Trinity College Dublin 	都柏林圣三一学院	爱尔兰
131	Radboud University Nijmegen 	内梅亨大学	荷兰
132	Indiana University 	印第安纳大学	美国
132	Université de Lausanne	洛桑大学	瑞士
132	University of Massachusetts 	马萨诸塞大学	美国
135	Boston College 	波士顿学院	美国
136	University of California, Santa Cruz 	加州大学圣克鲁兹分校	美国
137	Lancaster University 	兰卡斯特大学	英国
138	Aarhus University 	奥胡斯大学	丹麦
139	Colorado School of Mines 	科罗拉多矿业大学	美国
139	University of Leeds 	利兹大学	英国
141	University of Warwick 	华威大学	英国
142	National Taiwan University 	国立台湾大学	中国台湾
143	University of Utah 	犹他大学	美国
144	Osaka University 	大阪大学 	日本
144	VU University Amsterdam 	阿姆斯特丹自由大学	荷兰
146	Arizona State University 	亚利桑那州立大学	美国
146	University of Southampton 	南安普顿大学	英国
148	University of California, Riverside 	加州大学河滨分校	美国
148	University of Exeter 	埃克赛特大学	英国
150	University of Copenhagen 	哥本哈根大学	丹麦
150	Tohoku University 	东北大学	日本
152	Albert-Ludwigs-Universität Freiburg 	弗莱堡大学	德国
153	University of Birmingham 	伯明翰大学	英国
154	Karlsruhe Institute of Technology 	卡尔斯鲁厄大学	德国
155	Université Joseph Fourier, Grenoble	格勒诺布尔第一大学	法国
156	École Normale Supérieure de Lyon 	里昂高等师范学院	法国
157	University of Bern 	伯尔尼大学	瑞士
157	University of Nottingham 	诺丁汉大学	英国
159	Texas A&M University	德克萨斯A&M大学	美国
160	Georgetown University 	乔治城大学	美国
161	University College Dublin 	都柏林大学	爱尔兰
161	University of Iowa 	爱荷华大学	美国
161	University of Leicester 	莱斯特大学	英国
164	University of Antwerp 	安特卫普大学	比利时
164	University of Auckland 	奥克兰大学	新西兰
164	Brandeis University	布兰迪斯大学	美国
164	Pompeu Fabra University	庞培法布拉大学	西班牙
168	University of Western Australia 	西澳大学	澳大利亚
169	University of Liverpool 	利物浦大学	英国
170	University of Twente 	屯特大学	荷兰
170	University of Vienna	维也纳大学	奥地利
172	Université Catholique de Louvain 	鲁汶大学	比利时
172	Yeshiva University 	叶史瓦大学	美国
174	University of Delaware 	特拉华大学	美国
174	University of East Anglia 	东英吉利大学	英国
176	University at Buffalo	纽约州立大学布法罗分校	美国
176	Université Libre de Bruxelles	布鲁塞尔自由大学	比利时
178	Université Paris Diderot - Paris 7 	巴黎第七大学	法国
178	Stony Brook University 	纽约州立大学石溪分校	美国
180	Wake Forest University 	威克森林大学	美国
181	Universität Bonn	波恩大学	德国
181	Rensselaer Polytechnic Institute 	伦斯勒理工学院	美国
183	Iowa State University 	爱荷华州立大学	美国
184	Northeastern University	东北大学	美国
185	University of Miami 	迈阿密大学	美国
185	University of Oslo  	奥斯陆大学	挪威
185	University of Ottawa 	渥太华大学	加拿大
188	University of Aberdeen 	阿伯丁大学	英国
188	University of Texas at Dallas 	德克萨斯大学达拉斯分校	美国
190	Yonsei University 	延世大学	韩国
191	Hebrew University of Jerusalem 	耶路撒冷希伯来大学	以色列
191	University of Illinois at Chicago 	伊利诺伊大学芝加哥分校	美国
193	Mines ParisTech	巴黎高科国立高等矿业学校	法国
194	George Washington University 	乔治华盛顿大学	美国
194	University of Reading 	雷丁大学	英国
196	University of Dundee	邓迪大学	英国
197	Florida Institute of Technology	佛罗里达理工学院	美国
198	Newcastle University 	纽卡斯尔大学	英国
199	Boğaziçi University	海峡大学	土耳其
199	Tel Aviv University 	特来维夫大学	以色列
