50	59	贵阳	42.52	22.58	43.8	33.19	61	82.96	71.07	40.77	35.61	57.6	31	贵州省	省会
51	50	东营	42.12	49.48	40.16	44.82	34	86.43	21.83	39.23	3.52	37.75	86	山东省	地级市
52	60	威海	42.09	35.66	41.98	38.82	53	90.3	38.15	44.64	16.46	47.39	52	山东省	地级市
53	55	台州	41.69	30.4	50.99	40.69	49	84.1	21.66	33.77	33.66	43.3	67	浙江省	地级市
54	53	镇江	41.56	39.97	42.03	41	48	78.31	36.45	41.58	13.5	42.46	70	江苏省	地级市
55	52	中山	40.04	33.95	50.94	42.44	44	83.78	21.65	27.66	11.47	36.14	88	广东省	地级市
56	46	呼和浩特	39.54	35.93	40.96	38.45	54	76.52	64.95	12.86	10.96	41.32	74	内蒙古自治区	首府
57	65	盐城	38.62	32.44	35.96	34.2	57	74.37	30.74	33.8	44.21	45.78	56	江苏省	地级市
58	58	泰州	38.52	34.79	42.96	38.87	51	68.32	23.24	34.61	25.62	37.95	83	江苏省	地级市
59	62	保定	38.29	14.54	44.38	29.46	72	77.47	59.42	22.94	50.46	52.57	40	河北省	地级市
60	67	济宁	38.12	29.77	34.77	32.27	64	77.75	40.71	21.82	50.04	47.58	51	山东省	地级市
61	70	临沂	37.16	23.39	37.24	30.32	68	82.85	25.03	36.26	49.84	48.24	48	山东省	地级市
62	66	洛阳	36.83	27.39	32.54	29.97	69	81.63	41.7	24.99	43.38	47.92	49	河南省	地级市
63	69	宜昌	36.74	33.86	31.31	32.58	63	80.41	32.56	32.1	28.79	43.46	65	湖北省	地级市
64	68	沧州	36.21	23.67	39.87	31.77	65	79.68	37	15.29	41.62	43.4	66	河北省	地级市
65	57	兰州	36.13	17.1	51.94	34.52	56	39.47	64.71	18.46	32.3	38.74	80	甘肃省	省会
66	63	鞍山	35.53	24.89	43.42	34.15	58	78.01	20.47	36.9	15.67	37.76	85	辽宁省	地级市
67	76	泰安	35.36	26.7	30.56	28.63	73	86.01	42.8	22.06	34.1	46.24	55	山东省	地级市
68	71	廊坊 	34.85	16.98	45.01	31	66	61.09	48.04	32.62	22.61	41.09	76	河北省	地级市
69	77	邯郸	34.28	18.71	34.13	26.42	75	89.09	32.16	19.43	47.27	46.99	53	河北省	地级市
70	72	榆林	33.92	34.33	32.55	33.44	60	66.42	5.99	22.25	44.16	34.71	96	陕西省	地级市
71	71	惠州	33.83	29.62	36.09	32.85	62	79.54	17.06	21.37	23.72	35.42	93	广东省	地级市
72	73	吉林	33.54	21.57	32.75	27.16	74	68.67	42.93	32.88	30.98	43.87	64	吉林省	地级市
73	75	江门 	33.46	15.11	46.63	30.87	67	83.42	18.56	29.5	19.07	37.64	87	广东省	地级市
74	78	襄阳	33.07	28.38	30.73	39.55	70	65.47	29.05	25.16	35.33	38.75	79	湖北省	地级市
75	80	湖州 	32.67	20.06	38.86	29.46	71	88.24	16.69	36.36	10.2	37.87	84	浙江省	地级市
76	79	芜湖 	32.29	23.34	28.04	25.69	76	78.86	44.87	29.96	18.23	42.98	69	安徽省	地级市
77	83	株洲 	31.94	18.97	29.35	24.16	78	83.7	46	23.62	24.78	44.53	63	湖南省	地级市
78	90	聊城	30.96	18.24	26.59	22.41	80	88.33	19.78	40.21	30.81	44.78	60	山东省	地级市
79	81	德州	30.65	20.25	29.15	24.7	77	85.01	27.02	20.53	28.58	40.28	78	山东省	地级市
80	84	衡阳	30.32	12.58	29.54	21.06	82	63.72	45.38	24.51	47.59	45.3	58	湖南省	地级市
81	92	漳州	30.22	21.23	19.39	20.31	85	80.3	37.4	47.83	19.49	46.26	54	福建省	地级市
82		遵义	29.97	5.23	23.32	14.27	97	64.75	33.08	86.94	36.71	55.37	34	贵州省	地级市
83	87	淮安	29.14	20.75	20.07	20.41	84	73.75	34.27	33.53	31.48	43.26	68	江苏省	地级市
84	85	滨州	29.11	21.72	21.87	21.8	81	97.39	23.19	20.96	22.29	40.96	77	山东省	地级市
85	88	常德	28.8	18.51	23.3	20.91	83	82.13	28.44	21.78	33.89	41.56	72	湖南省	地级市
86	82	咸阳 	28.32	13.35	26.8	20.07	86	68.62	49.57	17.8	30.7	41.67	71	陕西省	地级市
87	87	柳州	27.52	20.22	24.8	22.51	79	52.45	34.19	30.19	25.71	35.63	91	广西壮族自治区	地级市
88	91	湛江	26.75	10.32	25.42	17.87	90	84.09	26.83	20.45	33.17	41.13	75	广东省	地级市
89		新乡 	26.17	7.55	21.99	14.77	96	80.29	49.46	17.11	31.64	44.63	62	河南省	地级市
90	89	南阳	25.94	11.56	24.65	18.11	89	54.64	36.16	17.62	46.06	38.62	81	河南省	地级市
