排名	学校名称	学校英文名	国家/地区	评分
701+	拉合尔大学	University of Lahore	巴基斯坦	-
701+	拉脱维亚大学	University of Latvia	拉脱维亚	-
701+	澳门大学	University of Macau	澳门	-
701+	内罗毕大学	University of Nairobi	肯尼亚	-
701+	新英格兰大学	University of New England	澳大利亚	-
701+	普利茅斯大学	University of Plymouth	英国	-
701+	普纳大学	University of Pune	印度	-
701+	索尔福德大学	University of Salford	英国	-
701+	圣地亚哥大学	University of San Diego	美国	-
701+	旧金山大学	University of San Francisco	美国	-
701+	圣托马斯大学（菲律宾）	University of Santo Tomas	菲律宾	-
701+	北京科技大学	University of Science and Technology Beijing	中国	-
701+	南昆士兰大学	University of Southern Queensland	澳大利亚	-
701+	太平洋大学	University of the Pacific	美国	-
701+	塔尔萨大学	University of Tulsa	美国	-
701+	温莎大学	University of Windsor	加拿大	-
701+	弗罗茨瓦夫大学	University of Wroclaw	波兰	-
701+	维罗纳大学	Verona University	意大利	-
701+	维多利亚大学（澳洲）	Victoria University	澳大利亚	-
701+	维尔纽斯科技大学	Vilnius Gediminas Technical University	立陶宛	-
701+	沃罗涅日国立大学	Voronezh State University	俄罗斯	-
701+	维陶塔斯·马格努斯大学	Vytautas Magnus University	立陶宛	-
701+	西蒂米什瓦拉大学	West University of Timisoara	罗马尼亚	-
701+	山口大学	Yamaguchi University	日本	-
NA	加州大学旧金山分校	University of California, San Francisco	美国	-
NA	卡罗琳医学院	Karolinska Institute	瑞典	-
NA	印度科学学院	Indian Institute of Science	印度	-
NA	尼赫鲁大学	Jawaharlal Nehru University	印度	-
NA	伦敦商学院	London Business School	英国	-
NA	魏茨曼科学研究所	Weizmann Institute of Science	以色列	-
NA	博科尼大学	Università Bocconi	意大利	-
NA	欧洲工商管理学院	INSEAD (France)	法国	-
NA	阿卜杜勒国王科技大学	King Abdullah University of Science & Technology	沙特	-
NA	贝勒医学院	Baylor College of Medicine	美国	-
NA	挪威商学院	BI Norwegian Business School	挪威	-
NA	中国医药大学	China Medical University Taichung	台湾	-
NA	哥本哈根商学院	Copenhagen Business School	丹麦	-
NA	克兰菲尔德大学	Cranfield University	英国	-
NA	ESADE商学院	ESADE Business School	西班牙	-
NA	ESCP欧洲商学院	ESCP Europe - Paris	法国	-
NA	ESSEC商学院	ESSEC Business School, Paris	法国	-
NA	EBS欧洲商学院	EBS Business School	法国	-
NA	光州科技学院	Gwangju Institute of Science and Technology (GIST)	韩国	-
NA	巴黎HEC商学院	HEC Paris	法国	-
NA	一桥大学	Hitotsubashi University	日本	-
NA	伦敦大学热带医学院	London School of Hygiene & Tropical Medicine	英国	-
NA	奎德阿萨姆大学	Quaid-i-azam University	巴基斯坦	-
NA	洛克菲勒大学	Rockefeller University	美国	-
NA	新加坡管理大学	Singapore Management University	新加坡	-
NA	斯德哥尔摩经济学院	Stockholm School of Economics	瑞典	-
NA	贡比涅技术大学	Université de Technologie de Compiègne (UTC)	法国	-
NA	奥托贝森管理学院	WHU – Otto Beisheim School of Management	德国	-
